Id,Text,RelevanceScore
1610134,"אדוני היושב-ראש, חברי הכנסת, אימי היקרה, אזרחי מדינת ישראל, אני ניצבת כאן היום במעמד מרגש זה בתחושת שליחות עצומה. אני, פלורה מאי בדרה גולן, בתה של רימונה בדרה גולן, אישה ששרדה בפרעות הפרהוד בעיראק ועלתה לארץ ישראל; אם חד-הורית שגידלה אותי כנגד כל הסיכויים והצליחה, למרות כל הקשיים שבדרך, לגדל אותי לתוך אהבה עצומה לארץ ישראל השלמה, אהבה שזורמת בכל רמ""ח איבריי ושס""ה גידיי; אישה שגידלה אותי להבין שאנחנו פה בזכות ולא בחסד, ושכל פיסה מאדמת ארץ ישראל חשובה כפעימות הלב בקרבנו. בתור ילדת אינטגרציה צעירה ותמימה, שחוותה על בשרה את ההדרה, את הרצון העז להיות שווה בין שווים, אך יותר מכול – את הרצון להוכיח את עצמה בתוך העולם הלא-פשוט הזה, הבנתי מהר מאוד מה ארצה לעשות כשאהיה גדולה. הבטחתי לעצמי שלא משנה במה אעסוק, אמצא בכל מצב את הזמן והמקום להשפיע, לשנות, להשאיר את חותמי על הארץ הזאת בדרך הטובה ביותר שאוכל. את ההבטחה הזאת נתתי לעצמי עוד כשלמדתי בבית ספר דמוקרטי, שכנראה לא הבין את המשמעות של דמוקרטיה כשלא רצה לשמוע את דעתה של הילדה בעלת הדעות השמרניות, שלא התאימו, מה לעשות, להלך הרוח. אבל אני עמדתי ואמרתי את דעתי גם אל מול הבוז שספגתי, כי ידעתי בלב שלם שזו האמת שלי. התחושה הקשה הזאת של נערה מתבגרת המוצאת עצמה תדיר בדעת מיעוט מבוטל חיזקה בי את ההחלטה שתמיד, אבל תמיד, אילחם על האמת שלי והאמת של אלו שקולם לא נשמע, והבטחתי שעבורם עוד אחולל שינוי, עבורם עוד אפלס את הדרך. במשך השנים התעצבתי לכדי אישה גאה – גאה בכל מה ומי שאני: אישה מזרחית, מסורתית, דרום תל אביבית, ""דרומית"", כפי שכינו אותי רבים מבני כיתתי מצידה השני של העיר. אך תמיד הייתי גאה בשכונה שממנה באתי, בפשטות, במהות. הייתי גאה עד שלא יכולתי יותר; עד שהבחנתי שישנם גורמים שטורחים לשוב ולהזכיר לי כל העת שלא מגיע לי, לא לאימי, לא לשכניי, לא לקשישה בת ה-83 מהתחנה המרכזית הישנה בתל אביב, שדמעותיה שברו את ליבי על כך שעכשיו היא צריכה שוב להילחם על הבית. הבנתי שאני חייבת לצאת למאבק – מאבק עבור ניצולי השואה שחיו בבניין שהושחת עד לכדי הרס מוחלט; מאבק עבור קורבנות האונס והאלימות; מאבק עבור בתי הכנסת שחוללו עד היסוד ומחוללים בכל יום שוב ושוב; מאבק עבור המצפון של אלו שאיבדו אותו לחלוטין. כשמדיניות ההגירה איבדה ממשמעותה ומסתננים בלתי חוקיים הפכו לבעלי הבית, לאחר שגנבו את גבולה של המדינה היחידה שיש לנו, חיפשתי צדק. חיפשתי וחיפשתי ולא מצאתי. אותו בית המשפט הגבוה לצדק, שהיה אמור לבחור בין הזכויות הקיומיות והבסיסיות של אזרחי מדינת ישראל לבין אלו שהסתננו בצורה בלתי חוקית בעליל, בחר בהם ולא בנו. ""פעילה חברתית"" היה התואר שהצמידו לי בכל פעם שהציגו אותי עד להיותי חברת כנסת היום. ומהי בעצם פעילות חברתית? בעיניי, זו בסך הכול הסתכלות בגובה העיניים, בסך הכול הטמעת המושגים הפשוטים של ""ואהבת לרעך כמוך"". שנים הרגשתי כאותה נערה שעומדת בפרץ אל מול חומות השתיקה הבצורות, כמו אותו ילד שסותם בידו הקטנה את החור בקיר הגדול שמפריד בינו לבין הים שעומד לכלותו, אבל המשכתי בכל הכוח למען אחיי ואחיותיי תושבי שכונות דרום תל אביב, למען תושבי הפריפריה, למען בני ובנות הנוער שאמרו להם שאין להם סיכוי מתוך רצון לדכא את האש שבהם. לאחר מאבק ממושך הבנתי כי משילות יציבה וחזקה במדינת ישראל היא המפתח ליציבות חברתית איתנה, כי הכול מתחיל מבפנים, תרתי משמע. אני מסתכלת היום על האנשים שהאמינו בי ונאבקו לצידי לאורך כל הדרך, ואני מתחייבת מכאן להיות הקול שלהם, הקול של אלו שקולם אינו נשמע: החלשים, השקופים; אלו שאיבדו אמון במערכת, במי שאמור היה לספק להם הגנה – ואותה מערכת בגדה בהם, הפנתה להם ולסבלם עורף והעלימה עינה מהם. שכונה היא לא מילה גסה, ואני מתכוונת לייצג את השכונות, את הפריפריות החברתיות והכלכליות של החברה הישראלית, כי משם באתי, ועבור הזכויות שלהן ולמען השמעת קולן אמשיך להיאבק. לשכונות חלשות, אוכלוסיות חלשות ופריפריות חברתיות ותרבותיות שקולן לא נשמע ברחבי מדינת ישראל מגיע שישמעו אותן. מגיע להם ומגיע לנו שנשיב את כבודנו הרמוס והאבוד. מגיע לנו יותר. מגיע לנו להרגיש כבעלי בית ולהתהלך כבני חורין גאים בכל מקום בארצנו; מגיע לנו להיות חלק מהגאווה הישראלית; מגיע לנו להיות גאים במדינתנו, המדינה היהודית היחידה בעולם, המדינה שאליה התפללו אבותינו וסבותינו, דורות של יהודים שחלמו על שיבת ציון, על ארץ ישראל. אז היינו כחולמים. את הכאב והמצוקה של השכונות ראיתי וחייתי בעצמי. אוי, מה גדול הפער בין חלום הדורות למציאות החיים המדממת שלתוכה גדלתי ושעיצבה את אישיותי ואת תפיסת עולמי ב-20 השנים האחרונות. אבותינו חלמו על מדינת צדק משגשגת שבה מהלכים יהודים גאים וריבונים בארצם, ואילו אני ואלפים בני גילי גדלנו בפועל בשכונות ללא תשתיות ראויות – פיזיות, חברתיות ותרבותיות; ללא חינוך שווה ערך; ללא סיכוי ממשי. אנחנו חיים היום בעידן מבורך, עידן שבו ישנן נשים מועצמות ומעצימות, עידן שבו ישנו חופש ביטוי מוחלט, עידן של דמוקרטיה משגשגת, אך בעיקר בעידן שבו יש לנו בית. ודווקא בגלל כל השפע והטוב הזה אנחנו צריכים לזכור שאין לנו בית אחר, וגם לא יהיה. עלינו לשמור על הבית הזה מכל משמר מאלו הרוצים להשמידו, מבחוץ, כמובן, אך לא פחות – מאלו הרוצים להשמידו מבפנים, ולצערנו, ישנם לא מעט כאלה. בימים אלה חשובה יותר מכול האחדות במדינת ישראל, כי בסופו של יום, למרות כל המחלוקות ולמרות האי-הסכמה, אחים אנחנו, עם אחד, חברה אחת. חברתיות כבר לא שייכת לחלק אחד של המפה הפוליטית; להפך, היא נחלתנו ומקור חיינו – חברתיות. ביום ההשבעה לכנסת חגגתי גם את יום הולדתי העברי, בכ""ד בניסן, סמוך ליום העצמאות של מדינת ישראל, ועבורי, כמובן, ההתרגשות הייתה כפולה ומכופלת. אך יותר מכול הבנתי כמה המדינה הצעירה שלנו השיגה בכל כך מעט זמן, וכמה חשוב לשמור עליה מכל משמר, לשמור על ביטחונה, על צביונה, על ערכיה. ולמרות היותי חברת הכנסת הצעירה ביותר במשכן היום היו בטוחים, חבריי, שבוערת בי האש הגדולה ביותר לממש את אהבתי לארץ הזאת ולעם הזה, מכיוון שהאש הזאת ניצתה כבר בגיל מאוד צעיר, והיא-היא שעיצבה את אישיותי ואת תפיסות עולמי, שלאורן פעלתי עד היום ולאורן אמשיך לפעול כל חיי. אני מסתכלת על חבריי לסיעה, חבריי למשכן הכנסת, על חברי הממשלה ועל העומד בראשה, כבוד ראש הממשלה, ואני רואה כמה הם רוצים לעשות עוד, לעשות טוב. ועבורי זו השראה אמיתית להמשך הדרך, דרך שאותה אני מתכוונת למלא בעשייה חברתית אמיתית, שתנסה להגיע ולגעת בחייהם של כל אזרחי מדינת ישראל בכל חלקי האוכלוסייה בחברה הישראלית; דרך שתוביל לחיבור ערכי בין בני ובנות הנוער, בין הפריפריה למרכז, בין תושבי השכונות לתושבי החלקים המבוססים יותר בערים; אך יותר מכול – דרך שתחזיר לאזרחי המדינה את האמון במערכות הצדק השונות, במנגנוני השלטון, דרך שתחזיר את הביטחון ביכולת מימוש המדיניות של נציגיה הנבחרים, דרך שתוכיח כי ""יש תמורה בעד האגרה"". ""הצדיקים הטהורים אינם קובלים על הרשעה אלא מוסיפים צדק; אינם קובלים על הכפירה אלא מוסיפים אמונה; אינם קובלים על הבערות אלא מוסיפים חוכמה"", כך אמר הרב קוק, זיכרון צדיק לברכה, וכך אני מקווה, בעזרת השם, לפעול: על פי האמונה, על פי החוכמה, אך יותר מכול – על פי הצדק. אדוני היושב-ראש הנכבד, ברשותך, אסיים את דבריי בתפילה: תודה, בורא עולם, שאני עומדת כאן לפניך ומודה לך, וכל מה שאומר יהיה כאין וכאפס לעומת כמה שאני באמת צריכה להודות לך. הרי על הכול אנו צריכים להודות לך, כי הכול ממך; הכול נתת לי בחן, בחסד, ברווח וברחמים. תודה על כל הדברים בעולם; תודה על שאתה איתי תמיד; תודה על שאתה נותן לי כוח לעשות מצוות, כוח למעשים טובים, כוח להתפלל; תודה על כל הפעמים שעזרת ולא ידעתי להגיד תודה; תודה על כל החסדים שאתה עושה עימי בכל רגע ורגע; תודה על כל נשימה ונשימה שאני נושמת; תודה על שלפעמים קשה לי, כי רק כך אני יודעת להעריך את הטוב – רק אחרי שנמצאים בחושך אפשר להעריך את האור; תודה על החיים הנפלאים שנתת לי; תודה על הדבר הכי קטן שיש לי; תודה, בורא עולם, על שאתה תמיד שומע את התפילות שלי, את התפילות של עם ישראל. אנא, אל תרחק מאיתנו לעולם. תודה רבה.",1
1610940,"אדוני היושב-ראש, בתקופה האחרונה נסגרים עוד ועוד סניפי בנקים בדרום תל אביב – בשכונת התקווה, בכפר שלם; הסניף היחיד, אגב, בכפר שלם נסגר – הכול חלק ממגמה של לייעל כביכול את סניפי הבנקים, לצמצם את העבודה. בפועל מי שסובל הכי הרבה זה הקשישים, זה אלו שלא יודעים איך לתפעל אפליקציה בפלאפון, זה אלו שלא יודעים בכלל איך להתנהל בלי ללכת לבנק, לשבת מול הבנקאי ולדבר איתו. אני מקבלת, בלי להגזים, מאות פניות מאז שנבחרתי לכנסת כדי לעזור בנושא הזה. פנינו למפקחת על הבנקים, לד""ר חדוה בר, פנינו ופנינו ופנינו, ומשום מה אין שום תשובה בנושא. אני פונה אליה מכאן, אולי היא שומעת אותי: הגברת בר, לו אימך בת ה-70 או בת ה-80 הייתה ניגשת היום לאיזשהו סניף בנק והוא היה סגור בפניה, והיו אומרים לה: גברת, לכי לאייפון הפרטי שלך ותנסי למשוך משם את קצבת הביטוח הלאומי שלך, סביר להניח שלא היית נותנת לה לעשות את זה. ולכן, אני, מכאן, לא מחכה לבנקים שיתעוררו כדי לדאוג לנו, או בטח לקשישים המוחלשים, ובטח ובטח לא בשכונה כזאת מוחלשת, כשנסגרים עוד ועוד סניפים. אני קוראת מפה לגברת בר לאכוף את החוק מלפני שנה, שנותן לה את הזכות שלא לסגור בנקים בהחלטה, ולהחזיר את הפעילות הכי בסיסית לאוכלוסיות המוחלשות. תודה.",1
1621006,"אדוני היושב-ראש, אני רוצה לדבר על היומיים האחרונים, שבהם פונים אליי לא מעט זוגות צעירים, הורים לילדים קטנים, שנאלצים להתמודד עם איזשהו נוהל לא רשמי שכזה מול העיריות, במיוחד העיריות של הערים הגדולות והחזקות. אני שמעתי בתחילה על אנשים שמתמודדים בנושא מול עיריית תל אביב, ועכשיו גם מול עיריות נוספות. מסתבר שיש נוהל כזה, לא פורמלי, שבו ילדים לא הולכים לגנים ונשארים בבית אבל ההורים עדיין צריכים לשלם, ומדובר באלפי שקלים. גם ככה, בימים רגילים, לא קל לזוגות צעירים שצריכים להתמודד עם התשלומים האלה. עכשיו, כשחלקם גם לא משתכרים, לא נותנים להם לא לבטל את הוראות הקבע ולא לעצור את התשלומים ולא להקפיא, שזה נראה לי תמוה מאוד. במכוני כושר נותנים להקפיא, גם כל מיני תשלומים כאלה ואחרים; אפילו שמעתי היום על מכוני פילאטיס, כל מיני דברים – נותנים להקפיא את התשלומים, ולהורים צעירים לא נותנים. ולכן אני קוראת מפה לעיריות השונות להפנים ולהבין את המצב שנקלענו אליו – בכל זאת מדינת ישראל כולה מתמודדת עם משבר – לגלות מצפון, מצפון אנושי, ולהקפיא לעת עתה את התשלומים. כי באמת אני מקבלת מאות פניות של הורים שלא מסוגלים להתמודד עם זה. לפני שאנחנו נכנסים לאיזשהו משבר כלכלי, כשאנחנו מדברים על החברות הגדולות ועל הטייקונים, צריך גם לזכור את האדם הפשוט, הרגיל, האזרח הקטן, שאמור להתמודד עם כל כך הרבה ביורוקרטיה, ומי אם לא העיריות החזקות צריכות לבוא לקראת אותם זוגות צעירים – להיות ראשונות, לפחות. תודה רבה.",1
1621898,"אדוני היושב-ראש, אני רוצה לומר שבזמן שאנחנו באמת עוברים ימים קשים ולא פשוטים, כל החברה הישראלית, כל מדינת ישראל, כל אזרחי העולם, ואנשים יושבים מסוגרים בבתיהם – אני יודעת – אתה יודע, למשל, אני מסתכלת על אימא שלי בת ה-73, כמה קשה לה לעבור את כל מה שהיא עוברת. ובאמת אני מסתכלת – מה לעשות, אני קשורה למסך ולטלוויזיה ולחדשות ולעדכונים, ואני אומרת בימים כאלה: מזל שהמגזר החרדי לא צופה בתקשורת. מזל שהמגזר החרדי לא צופה בתקשורת, מזל שהוא לא רואה טלוויזיה, כי באמת, את הפתגם הידוע ""ואהבת לרעך כמוך"" – כלל גדול בתורה, יש לומר – לא היה אפשר להתגאות בו בימים כאלה. ואני רוצה לומר שבימים האלה, כשאני רואה שוב ושוב שפותחים את המהדורות ומדברים על הסגר ועל אנשים שמפירים אותו, כל הזמן, כמובן, גם אם מדברים על ערים אחרות, עדיין מראים ברקע את בני ברק, מראים את המגזר החרדי. יש הרבה פנים וצורות להסתה הזאת ולגזענות הזאת. אותי אישית – אני לא יודעת אם זה יותר מצחיק או מעציב, אבל אותי זה מאוד מכעיס דווקא שבזמן שרואים את כל התמונות האלה אני מקבלת אין-ספור טלפונים והודעות ופניות מתושבי שכונות דרום תל אביב – ואגב, שכונות רבות ברחבי הארץ, אם זה רמת אליהו בראשון ורובע ב' באשדוד ושכונת הדר בחיפה ומרכז פתח תקווה וערד ואשקלון ואילת – כל השכונות האלה, מה שמשותף להן כמובן הוא שמדובר בשכונות משכבות סוציו-אקונומיות נמוכות שלשם הגיעו מסתננים בלתי חוקיים, שבימים האחרונים, בשבועות האחרונים, יש לציין, פשוט מפירים בצורה גסה ובוטה את הוראות משרד הבריאות. אנחנו רואים אין-ספור סרטונים ותמונות שלהם מתגודדים בכמויות, נשארים עדיין בחמארות – החמארות זה הפאבים הבלתי-חוקיים שלהם – ועושים ככל העולה על רוחם. עד היום דווח, יש לציין, על מסתנן אחד שנדבק בקורונה. כמובן, לא בוצעו באזור בדיקות. וזו פצצה מתקתקת. צריך להבין, זו פצצה מהלכת. אנחנו יודעים שיש שם מדגרה, מכיוון שאותם מסתננים גרים בצפיפות בלתי נתפסת בתוך הדירות, בין חמישה ל-15 אנשים בדירה מחולקת. אף אחד שם לא הולך עם מסכה או עם כפפות. כולם יושבים למטה, שותים בירה לשוכרה. המשטרה, שאני עדה לפעילות שלה, מסתובבת סביב עצמה, יום ולילה, יום ולילה. זה כמו משחק חתול ועכבר: היא מחזירה אותם, הם יורדים, היא מחזירה אותם, הם יורדים. אני רוצה גם לנצל את ההזדמנות הזאת להודות לשוטרים על הפעילות שלהם ולהודות גם לשר לביטחון הפנים גלעד ארדן, שבימים האחרונים כל בקשה שהגיעה אליו התמלאה, אם זה תגבור בשוטרים ותגבור ביס""מ. גם כשהבנו שאי-אפשר להחיל את הקנסות שמקבלים ישראלים על מסתננים אריתריאים בגלל איזו בעיה טכנית כזאת או אחרת, השר עובד על פתרונות.",1
1621899,"אני מסיימת. אני רק רוצה לסיים בזה: תראו, בימים האחרונים היה ניסיון, מחטף, מה שנקרא, לפגוע בחוק הפיקדון, שהוא התמריץ היחיד שנותר להוציא את המסתננים הבלתי-חוקיים. כמובן, נלחמנו ולא נתנו שזה יקרה.",1
1621900,"ואני אסיים במשפט שאמר ראש ממשלת אוסטרליה ממש ביומיים האחרונים. הוא אמר שצריך לדאוג קודם כול לאזרחי המדינה שלו. ואני אומרת: עניי עירי קודמים, וזו לא בושה להגיד את זה.",1
1624124,"אדוני היושב-ראש, בזמן שאנחנו פה, בכנסת, מחוץ לכנסת וליד בית המשפט העליון עומדים עכשיו אנשים ומפגינים ביחד עם דגלי ישראל. הם עומדים ומניפים שם דגלים וזועקים את זעקת רוב-רובו של העם, יש לציין. כמובן, אף אחד לא מראה אותם בתקשורת; אף אחד לא נותן להם יותר מדי תשומת לב. על מה הם מפגינים? הם מפגינים על הדמוקרטיה. איזו דמוקרטיה? לא הדמוקרטיה שהתקשורת אוהבת לדבר עליה, שארגוני השמאל אוהבים לדבר עליה, שכל יפי הנפש וארגוני הזכויות למיניהם אוהבים לדבר עליה; אותה דמוקרטיה בסיסית של העם, של הריבון, זה שהולך להצביע בבחירות ומקווה לדבר נורא פשוט: שהזכות הבסיסית שלו, הדמוקרטית, תיושם בפועל בכנסת. אבל זה קורה, והינה אנחנו רואים איך זה לא קורה: שלוש פעמים בשנה האחרונה הלכו אזרחי ישראל ליישם את זכותם הדמוקרטית, אותה זכות שאנחנו מדברים עליה, בחרו שוב ושוב, ועדיין יש מישהו אחר שמחליט עבורם את ההחלטות. אתן לכם עוד דוגמה: עשר שנים אנחנו מבינים שמשהו רע מאוד קורה פה, כששלוש פעמים מבוטל חוק המסתננים – מעוקר, מסורס, נרמס על ידי שופטי בית המשפט העליון – ועולם כמנהגו נוהג, למרות שבחרנו בקלפי, ויש לנו נציגי ציבור שאמורים ליישם את הדברים האלה. עכשיו גם מבוטל חוק הפיקדון. אתם יודעים, חוק הפיקדון, התמריץ היחיד שעוד נשאר כדי להילחם במסתננים הבלתי-חוקיים שמגיעים לפה מכל העולם, גם הוא בוטל ככה פתאום על ידי בג""ץ.",1
1624125,"חד-משמעית, פתאום. ולא רק זה, הם גם רוצים שנחזיר את הכספים בתוך 30 יום – הם, אותם אנשים שחיים להם שם במגדלי השן, לא יודעים בכלל מה זה דרום תל אביב, לא יודעים בכלל מה זה שכונות העוני, בזמן שבעשור האחרון אנחנו רואים שהתיישבויות מפונות, מוקפאות, כל מיני מחבלים למיניהם מקבלים זכויות, מצליחים לעתור, הם מחליטים עבורם איזה חדר בבית שלהם כן ייהרס אחרי שהם רצחו יהודים או לא ייהרס. גם היום, למשל, עוד חדשה אחת באמת מרעננת לכל המסע הזה: בג""ץ מקפיא את מינויו של דן אלדד, ממלא מקום פרקליט המדינה. וכבר אף אחד לא מופתע, כי למה להיות מופתעים? למה? הרי יש פה מי שמנהל בפועל, תרתי משמע, את המדינה, וזה לא אנחנו – –",1
1624126,"עוד דקה. – – לא נבחרי הציבור, לא המנהיגים, גם לא העם. אנחנו לא הריבון. אתם יודעים מה, אפילו אשר ואירית, הורים שכולים ששכלו את בנם, מה הם ביקשו? הם ביקשו סך הכול להביא ילד מהזרע המוקפא של הבן שלהם, שהלך לשרת בצבא הגנה לישראל, אבל בית המשפט העליון החליט שהם לא ראויים לעשות את זה. למה? כי הם הבריאה, הם היקום, הם המהות. הם לא – אנחנו פה רק תפאורה.",2
1624127,"אני מסיימת. משפט אחרון, מסיימת. תראו, הרבה דובר על הפחד מבחירות רביעיות, על הכסף שיישפך. ואני אומרת במשפט: למה ללכת לבחירות רביעיות? למה, אם יש את שופטי בג""ץ? גם ככה הם מחליטים מה לחוקק. גם ככה הם מקבלים פה את ההחלטות האמיתיות. הם מנהלים ומיישמים את מדיניות ישראל בפועל.",1
