Id,Date,Topic,Text,Rank,Reasoning
1460234,2016-02-03,נישואים_אזרחיים,אנחנו – מדינת ישראל לא יכולה לתת מעמד והכרה פורמלית לרפורמים ולקונסרבטיבים – –,1,
1479342,2016-06-15,נישואים_אזרחיים,רגע. אז ראשית אנחנו ננצל את ההזדמנות ונברך את חבר הכנסת בן צור לרגל נישואי בנו אתמול.,5,
1574297,2018-01-17,נישואים_אזרחיים,"שוב, אתם כל כך מזלזלים בנשים.",1,
1465844,2016-02-24,נישואים_אזרחיים,"אנחנו עוברים לסעיף הבא שעל סדר-היום: סירוב רבנות פתח-תקווה לרשום זוגות ממוצא אתיופי לנישואין, הצעות לסדר-היום מס' 3060, 3066 ו-3072. ראשונת המציעים, חברת הכנסת רויטל סויד. חברת הכנסת עאידה תומא סלימאן מוסיפה את שמה, לפרוטוקול, בדיון הקודם. בבקשה.",3,
1468126,2016-03-09,נישואים_אזרחיים,"אנחנו עוברים לסעיף הבא שעל סדר-היום: הצעת חוק שירותי הדת היהודיים (תיקון – הגבלת גובה אגרת הנישואין), התשע""ו–2015, של חבר הכנסת יואל רזבוזוב וקבוצת חברי הכנסת. ינמק את החוק במשך עשר דקות חבר הכנסת רזבוזוב. בבקשה.",5,
1468141,2016-03-09,נישואים_אזרחיים,"תודה רבה. חברי הכנסת, נא לשבת. אנחנו עוברים להצבעה על הצעת חוק שירותי הדת היהודיים (תיקון – הגבלת גובה אגרת הנישואין), התשע""ו–2015. מי בעד ומי נגד? הצבעה מס' 5 בעד ההצעה להעביר את הצעת החוק לוועדה – 34 בעד ההצעה להסיר מסדר-היום את הצעת החוק – 42 נמנעים – אין ההצעה להסיר מסדר-היום את הצעת חוק שירותי הדת היהודיים (תיקון – הגבלת גובה אגרת הנישואין), התשע""ו–2015, נתקבלה.",3,
1601082,2018-11-21,נישואים_אזרחיים,"בבית המשפט העליון, כששלושה גברים מחליטים נגד אישה, שלא מתיישרת עם ההלכה – – –",1,The speech indicates a strong opposition to civil marriage by framing it in the context of a judicial decision against a woman who does not conform to religious law.
1595165,2018-10-24,נישואים_אזרחיים,"תודה רבה, אדוני היושב-ראש. אדוני השר, חבריי חברי הכנסת, אני שמח להציג היום הצעת חוק ראשונה שלי בכנס הזה, שאני רוצה להאמין ולקוות שתעבור כאן עכשיו פה אחד, באמת בהסכמה רחבה. הגם שאנחנו מתווכחים כאן לא מעט בבית הזה על שאלת המונופול או השליטה של הרבנות ושל ההלכה האורתודוקסית בשאלת נישואין וגירושין – דעתי בעניין ידועה, דעות אחרות גם כן מוכרות – נדמה לי שכולנו צריכים להסכים שבתוך המסגרת ההלכתית הקיימת צריך להפוך כל אבן ולעשות כל מאמץ כדי למנוע שימוש לרעה בהלכה מצד בני זוג האחד כנגד האחר, במסגרת סכסוכי גירושין, ולהיאבק כמה שרק אפשר בתופעה הקשה של סרבנות גט, שנמצאת כידוע בשני הצדדים – סרבני גט, סרבניות גט. חוק בתי הדין הרבניים (קיום פסקי דין של גירושין), שחוקק בשנת 1995, העניק לבתי הדין הרבניים כלים שונים שנועדו להפעיל לחצים וסנקציות על הצד הסרבן – כמובן אחרי שניתן פסק דין שמחייב גירושין – במטרה ללחוץ עליו לחזור בו מסרבנותו ולשחרר את הצד השני מעגינותו. אחת הסנקציות שהמחוקק נתן בשעתו הייתה מניעת האפשרות להשתמש בפנקסי צ'קים, הגדרת אותו אדם כמוגבל בחשבונו. אנחנו כמובן יודעים שהיום הרבה מאוד מהשימוש באמצעי התשלום עבר לכיוון של כרטיסי אשראי, אנשים פחות משתמשים בצ'קים. בהצעת החוק הזו אנחנו מבקשים להוסיף גם את הסנקציה הזו: מניעת היכולת להשתמש באמצעי תשלום של כרטיס אשראי – שוב, מתוך מגמה לנסות ולהפעיל כמה שיותר לחץ וסנקציות כמובן במסגרת ההלכתית, על פי שיקול דעתו של בית הדין, באופן שאנחנו לא נקבל אחר כך חלילה גט מעושה, שאיננו תקף מבחינה הלכתית. הצעת החוק הזו גובשה לבקשתם של בתי הדין וכמובן בתמיכתם של שני הרבנים הראשיים לישראל. אני שמח שגם הממשלה תומכת בהצעת החוק הזו, אני מקווה שנעביר אותה בהליך חקיקה מהיר – – –",2,
1595168,2018-10-24,נישואים_אזרחיים,"תראי, סרבנות גט – אם את כבר נוגעת בנקודה הזאת, לאה – נמצאת בשני הצדדים. נתונים סטטיסטיים מלמדים על יותר סרבניות גט מסרבני גט. נכון שההשלכות של סרבנות גט על אישה הן קשות יותר וחמורות יותר מאשר על – למרות שאדם דתי, ירא שמיים, שלא יקיים מערכות יחסים אחרות שלא במסגרת נישואין, גם הוא סוג של עגון ולא רק אישה. אבל אני מסכים. אני מסכים שהתוצאות כלפי אישה עגונה הן קשות יותר, אבל אני רוצה, שוב, שלא ניכנס כאן עכשיו בכלל לשאלה של שני המינים. צריך לטפל ביד קשה בסרבני ובסרבניות גט, אסור בשום פנים ואופן לתת לגיטימציה לשימוש פסול בכללים ההלכתיים כדי להפעיל לחץ לא צודק, לא אמיתי ולא נכון. צריך לתת את הגט, ועל כל השאר נתווכח במקביל.",5,
1595170,2018-10-24,נישואים_אזרחיים,"חבר הכנסת שטרן, אני מבין שמאוד קשה לך לשמוע מילה טובה על בתי הדין הרבניים – –",3,
